latitude,longitude,mag,magType
24.9109,122.4712,4.4,1
28.4474,104.9682,4.4,1
41.1407,83.541,4.5,1
18.2864,96.0706,4.7,1
31.0467,110.5166,4.5,1
18.5356,96.1126,4.6,1
26.7882,129.7743,4.6,1
24.5579,121.984,5.0,1
27.7998,100.7176,5.4,2
29.2647,129.4618,4.4,1
24.4411,122.0403,5.1,1
24.8767,122.5482,4.2,1
28.317,104.8323,4.7,1
23.0656,93.2324,4.5,1
41.0214,78.3727,4.4,1
31.8686,92.9137,5.0,2
23.1687,123.4788,4.2,1
23.8402,121.5401,4.4,1
29.352,81.1564,4.3,1
34.9495,97.4695,5.1,1
25.5864,99.9677,4.6,1
25.7702,123.885,5.5,2
21.1014,100.0762,4.3,1
26.7196,129.7067,4.4,1
28.3835,94.4118,5.5,2
23.0721,120.5295,4.4,1
27.3521,129.7394,4.2,1
22.5559,93.7959,4.2,1
23.7499,126.3122,4.6,1
23.9122,122.8793,5.1,2
35.9625,77.7205,4.0,1
29.2546,129.5446,4.7,1
19.2005,121.0915,4.5,1
35.6507,74.504,4.1,1
28.8684,81.5715,4.5,1
31.5495,131.7451,4.5,1
25.0248,125.6929,4.4,1
27.1986,96.9185,5.4,2
29.9356,99.7046,4.0,1
27.7834,94.8947,4.4,1
29.6163,104.8352,4.1,1
32.3726,101.8721,5.9,2
24.1977,126.1854,4.7,1
22.8336,93.4891,4.5,1
30.3493,87.6027,5.2,2
18.7904,121.099,4.6,1
23.0149,93.9436,4.5,1
52.0354,105.7028,4.9,1
32.2028,104.6042,4.8,1
25.6729,125.8012,4.1,1
21.609,121.0273,4.7,1
26.5894,129.5831,4.2,1
36.8775,73.284,4.3,1
40.4481,82.8993,4.3,1
38.5157,90.1533,4.1,1
19.2097,122.1996,4.5,1
41.7638,133.2274,4.3,1
25.8613,129.0367,4.9,1
38.9262,79.1662,4.2,3
39.6384,74.8084,4.4,1
26.7657,126.5096,4.2,1
26.1026,129.4853,4.9,1
27.6289,92.6692,5.0,2
23.4064,93.4982,4.2,1
38.8385,90.4969,4.7,1
26.2896,125.714,4.5,1
43.7617,84.4369,4.4,1
23.7882,121.6497,4.7,1
24.999,128.2458,4.4,1
32.1505,105.2089,4.2,1
41.7567,81.7211,4.8,2
22.8178,120.8944,4.5,1
29.6567,129.6119,4.3,1
26.8138,126.4062,4.0,1
24.932,122.4581,4.4,1
33.4274,75.7158,4.1,1
44.154,82.1125,4.4,1
26.7462,129.7372,4.9,2
42.2424,87.8657,4.4,1
34.644,80.2097,4.2,1
25.5067,95.4612,4.2,1
21.5808,95.9779,4.3,1
23.9307,122.4281,4.4,1
26.2378,129.5217,5.0,2
26.0714,128.6575,4.5,1
18.9752,122.2427,4.7,1
18.8969,99.2514,3.8,4
39.7969,73.8388,4.5,1
26.8275,129.4155,4.8,1
21.1341,94.4582,4.5,1
32.0014,83.7165,4.0,1
23.2383,126.1469,4.2,1
21.4751,119.6739,4.4,1
27.8699,127.3329,4.3,1
37.9258,101.157,4.6,1
36.9713,75.4511,4.4,1
24.8591,122.4236,4.6,1
24.0847,93.875,4.4,1
33.6719,135.1475,5.4,2
19.8781,121.3427,4.5,1
35.6685,82.4472,5.0,1
23.8313,122.363,4.1,1
19.36,119.9796,4.3,1
24.8576,122.0287,4.4,1
24.4093,99.192,4.6,1
31.9628,92.9564,4.7,1
23.8849,121.6815,4.7,1
28.1508,103.6451,4.4,1
24.5004,102.023,5.0,2
24.9119,122.778,4.5,1
